Read_fragtion	Genomospecies	MG_1T016	MG_1T034	MG_1T039	MG_1T055	MG_1T072	MG_1T078	MG_1T091	MG_2T009	MG_2T010	MG_2T016	MG_2T048	MG_2T066	MG_2T078	MG_2T084	MG_3T000
70	gsp003	14.1524192746113	3.53928471815767	2.63332574503185	4.46925120553291	15.9034310311891	15.1513182588571	9.0387979886322	24.6809538311869	28.5888371406059	28.4581537723522	18.5047247857322	122.278178587929	120.122862738612	170.093583287509	29.3233904205526
80	gsp003	16.1966204187156	4.05628790463397	2.99700272263375	5.13676886054024	18.1061222945315	17.2808359175264	10.3279958888902	28.2286615639917	32.6547162107481	32.543077851701	21.1148425346066	139.867704168541	137.163848721412	194.477462439433	33.5558676998963
90	gsp003	18.2112259663946	4.54424722320043	3.38868663590251	5.80596855513654	20.4205922903264	19.4468195353396	11.6193256339538	31.7679072217235	36.7110138804885	36.5611390264311	23.772334476868	157.296810411068	154.38785843281	218.621142554076	37.7803320990646
100	gsp003	20.2465512390394	5.05699587485284	3.75880919409187	6.43408217459156	22.6667315639367	21.6093438641869	12.9161854808735	35.3164071487903	40.7896638789322	40.6250693475139	26.3971725134224	174.752163428822	171.559953786634	243.056983058151	41.9332402393183
1	gsp004	0.0791181288071589	0.14336735985531	0.221108330540816	0.258406476427022	3.57375118653646	4.02339317714652	0.173514301184127	0.152560482394616	0.166641032669871	0.222416072706544	0.0608641823739549	0.113173596783673	0.206866354140607	0.283801283079085	0.111387837290088
5	gsp004	0.398212933853127	0.704387932294671	1.10380788712258	1.28584020664722	17.7235328529386	20.2145091869976	0.911402101588482	0.771396107316523	0.824633517780148	1.10197040593634	0.302174733844253	0.591275040445003	0.993426717303111	1.41114907362365	0.571842928297129
10	gsp004	0.786772149882932	1.4059722766283	2.21400095331246	2.57082836646289	35.5513853655376	40.3344166759448	1.82241492938492	1.54868739871736	1.67622737618303	2.19883805856366	0.613355847695404	1.19450160296414	2.00560935367756	2.80941944577756	1.17332320314076
20	gsp004	1.59071399618947	2.81943249325508	4.42045108393696	5.15814451966472	71.2145091869976	80.7327082812147	3.65806625657716	3.10529148304332	3.32312065827015	4.43787095002133	1.20563075012515	2.37379893382536	4.02606038317063	5.585435116906	2.33641694435318
30	gsp004	2.39681018710458	4.22994566227858	6.61503326385386	7.70711938210544	106.860880896647	121.099455098357	5.48574754315154	4.61890885194992	5.01864812017508	6.66723841821997	1.80916900389737	3.55873120699103	6.03056833701419	8.42406615803373	3.49070602016003
40	gsp004	3.18992178318974	5.65631969668222	8.7883477559727	10.3106829522851	142.413686703197	161.635453260331	7.30110082817319	6.18491784553562	6.68253715046684	8.85305676564656	2.40704972115202	4.7525998997688	8.06407718836523	11.2301024606731	4.63608127056788
50	gsp004	3.99891248335718	7.0820749763101	11.0266652547552	12.8927558869494	177.976856720295	202.1097351931	9.14046114516727	7.71840069993061	8.35599115504612	11.0569466724849	3.01720753492507	5.9286869468331	10.0880632594412	14.0170205201732	5.82372457708669
60	gsp004	4.7563932775955	8.53717551103074	13.2402450846017	15.4748252827611	213.604362262002	242.269356775419	10.9398324271602	9.24011088042026	9.95882626601773	13.2942779202544	3.63063878740397	7.13205882008664	12.1020969879736	16.8274273058415	7.00447338197532
70	gsp004	5.57262746470879	9.91565389694371	15.3989215210424	18.0530087461382	249.345341930749	282.646665162201	12.7726036727302	10.800935182647	11.7268678132368	15.5162921970749	4.23067521036437	8.30628796950707	14.1389816325381	19.6252842311176	8.13732844390932
80	gsp004	6.3754140117332	11.3369420556433	17.6285568531651	20.6385081068309	284.803487784289	323.130464158636	14.616025231475	12.3126565431888	13.3357355791074	17.7368032781753	4.83700997439232	9.53194100351517	16.1269424558059	22.4133140347902	9.32354178173609
90	gsp004	7.17613822431807	12.7560274146749	19.8497468495364	23.2340893865181	320.516355079764	363.55068576159	16.4327910631448	13.879073865927	14.9948006087915	19.9536807742574	5.43841375557471	10.7025335735035	18.1328047013385	25.231355214513	10.4637562960953
100	gsp004	7.95973275673627	14.1670131566375	22.0239215550699	25.7774614285477	356.110198510579	403.96815277608	18.2601867915319	15.4196172758076	16.6830990113807	22.1673722140723	6.04628410943548	11.9039296780978	20.1622240001176	28.0395706337296	11.6393969032862
1	gsp005	0.312327764536156	0.154530639499277	0.485755396412226	0.0776253549174346	0.961693608805962	1.09254127847517	0.264449418435573	0.398840036754821	0.45809600065507	0.433835623897049	0.0996529227215957	0.143678090572692	0.221947541229936	0.227224398988187	0.373611405981649
5	gsp005	1.55867539136414	0.772169492569896	2.43336753597081	0.391749074481695	4.79654129873507	5.35430204038219	1.34650198188175	2.06281073082074	2.2461893464201	2.10734746095011	0.479497200125105	0.701706431629406	1.09564188614531	1.17351795722884	1.87644420320165
10	gsp005	3.13917701785361	1.55893623747633	4.87808567655166	0.76877764894925	9.58580549743734	10.6153887387922	2.6915916804441	4.15034486135269	4.48021431589308	4.23691580284255	0.952665294340357	1.37916894766321	2.1994907169596	2.31469395111372	3.76656256740107
20	gsp005	6.33250872758169	3.10832711115463	9.86117035488156	1.57679617662068	19.1796001457024	21.1968016383499	5.3945972776614	8.19636605066746	8.95563758935984	8.51467808086483	1.89741530204334	2.78437776595013	4.39495815699137	4.63082002335797	7.4962208969814
30	gsp005	9.4498856793374	4.66758455233869	14.8137858436536	2.38190150062489	28.7812953077668	31.9231592938246	8.06780901506112	12.3005652087845	13.4708778822335	12.7879190262758	2.82805302857953	4.18488713340675	6.63082719873646	6.90136555894299	11.2020303788642
40	gsp005	12.6243347474457	6.15451671082338	19.696164084867	3.14073491914826	38.4661222946185	42.4998638788492	10.6649714483248	16.381059870936	17.909144513389	16.964321907739	3.77551279686546	5.6177388862884	8.88199414742364	9.26933880575533	14.9968356580856
50	gsp005	15.7408472771338	7.72842247615558	24.6313510013663	3.92144269004095	48.026657375255	53.097878493829	13.3800928831642	20.5222852483082	22.4357797293869	21.1706043314805	4.74065649648217	6.9739360707543	11.0469649626268	11.5673651967974	18.6734240441868
60	gsp005	18.9116845973747	9.27521544073918	29.5081092328972	4.70969938118692	57.6217170005398	63.8825660672975	16.0597084348262	24.6823865140028	26.8012095155649	25.461576059223	5.7160618315027	8.347706601306	13.2473454265193	13.8523290223378	22.3987725037808
70	gsp005	22.0513634696416	10.8125609643371	34.5002492388823	5.52526809535487	67.1962229651787	74.3397672560466	18.7563110619434	28.7422798203454	31.365680502344	29.7160559223675	6.65444643432228	9.75573196669105	15.4470416969686	16.1527013400652	26.2175925085672
80	gsp005	25.2076558756009	12.3566897530952	39.4771998127648	6.28278546504683	76.7847762104969	85.1433822117302	21.4177302758342	32.8756869897303	35.7832398353377	33.9690411963804	7.61148111208237	11.1498691759669	17.6826254118984	18.4800691199989	29.9031357670247
