Read_fragtion	Genomospecies	MG_1T016	MG_1T034	MG_1T039	MG_1T055	MG_1T072	MG_1T078	MG_1T091	MG_2T009	MG_2T010	MG_2T016	MG_2T048	MG_2T066	MG_2T078	MG_2T084	MG_3T000
1	gsp002	0.0070711784678724	0.0078317094486848	0.0345646087427317	0.017243589919347	0.0078210872311178	0.008009247952399	0.0078612137265663	0.0074937355803205	0.0076322966711991	0.0074431571371263	0.0065008166208099	0.0064586735992577	0.0068376163641962	0.0071225903730614	0.0076305958608775
5	gsp002	0.0086246230061574	0.0072551568091426	0.0058774218608914	0.0074423030464281	0.0083280126183344	0.0085277433465112	0.009824323034764	0.0090154956663493	0.0091916533735513	0.0090179325738537	0.0075351357722715	0.0077373444329906	0.0081527255086801	0.0084775925300901	0.0090926971962302
10	gsp002	0.0090672089348056	0.0079062578948433	0.0062896958694217	0.0068976778861252	0.0083170881726861	0.0086271280062544	0.0106406558357835	0.0093283322366406	0.0094772281964619	0.0093138590310568	0.0081081748482643	0.008018766892808	0.0084739038952788	0.0087064217069025	0.0094108410838966
20	gsp002	0.0092479756288771	0.0086161482855197	0.0062233973894473	0.0062336564950439	0.0087724893646911	0.0085539877896726	0.009839334665065	0.0095243251306862	0.0096353964698662	0.0094724277841527	0.0083632533139246	0.0082484055376695	0.0086596731061108	0.0088463549249994	0.0095752994823799
30	gsp002	0.0093604030075116	0.0088448285560955	0.0064078684540823	0.0070117853028018	0.0091476300864417	0.0089906155904325	0.0087290816927672	0.0096058469677288	0.0097215908153485	0.0095678580425015	0.0084804799236067	0.0083279639775154	0.0087395377685909	0.0089275063506987	0.0096841967087618
40	gsp002	0.0093875283486251	0.008942687954543	0.0066226268588782	0.0075205363129476	0.0094095565974054	0.0092603821388957	0.0083144978183393	0.0096604891985408	0.0097724940514084	0.0096116541540442	0.0085260795987522	0.0083868524869455	0.0087879038195529	0.008968247597038	0.0097340777538249
50	gsp002	0.0094443653880839	0.0089680056688434	0.0068225806455328	0.0077573619722491	0.0095178553611227	0.0094572757021046	0.0081352622818764	0.0096982250814861	0.0098132526290935	0.0096612878324365	0.0085778472115137	0.0084344556800275	0.008835562810942	0.0090075076422621	0.0097737876508733
60	gsp002	0.0094557998974137	0.0090008121417792	0.0069700388292806	0.0079304625177056	0.0096255406609944	0.0096091676629993	0.0080415997739294	0.0097291327953721	0.0098467207362671	0.0096942070614986	0.0086191778294672	0.0084647580951403	0.008872654888006	0.0090303743241962	0.0098046403931151
70	gsp002	0.0094926124194121	0.0089959339887211	0.0071583698597434	0.0080724522736264	0.0096967983174979	0.0096798049578748	0.0080767618224635	0.00976432514406	0.0098721476134507	0.0097154039377672	0.0086334657440887	0.0085066941611328	0.0088975680702578	0.0090333601800299	0.0098361601684097
80	gsp002	0.0095196777739652	0.00900850425474	0.0072510007988192	0.008277375101782	0.0097589093004132	0.0097252113612487	0.0081089635870829	0.0097922083683095	0.0098996875640941	0.0097304019669078	0.0086711997795814	0.0085257442293356	0.008910291266377	0.0090471931394166	0.0098673303647491
