Read_fragtion	Genomospecies	MG_1T016	MG_1T034	MG_1T039	MG_1T055	MG_1T072	MG_1T078	MG_1T091	MG_2T009	MG_2T010	MG_2T016	MG_2T048	MG_2T066	MG_2T078	MG_2T084	MG_3T000
1	gsp001	0.989739312786468	0	0	0	0.988940549144163	0.988465883664104	0.988846398165149	0.988281104843678	0.988695810925298	0.987578598415357	0	0.986313959776023	0.986781433459306	0.986971918675913	0.987397838892814
5	gsp001	0.989587206470068	0.992454028495261	0.989808797230634	0.989013389712014	0.989194759755348	0.988906957324046	0.988646488521363	0.988244721200722	0.988158264547088	0.988249121153701	0.986744342308302	0.986630256278274	0.987050720057142	0.986684746032312	0.987409765239927
10	gsp001	0.989584254295392	0.992589743236533	0.990007937443406	0.988809619643132	0.989093456996337	0.988954671257541	0.98868368262367	0.988135278018776	0.988104314785408	0.988120847401986	0.987121488341169	0.986598421276208	0.987110293280353	0.986992275222098	0.987374905555254
20	gsp001	0.989640103940645	0.992330336847941	0.989934998044173	0.988783982035981	0.989164761861313	0.988972133250561	0.988667521526837	0.988248574010212	0.988090799051001	0.988235648182711	0.987099321467045	0.986556708932025	0.9869729924471	0.986885296961068	0.98746175856133
30	gsp001	0.989622683976584	0.992526781919541	0.989984829167406	0.988971255903412	0.989198577671816	0.989041200007586	0.988626345990077	0.988136476544418	0.988075523105931	0.988245980621882	0.986997028295408	0.986588538549086	0.986982170009867	0.986927893627344	0.98738415943954
40	gsp001	0.989612720342957	0.992489411653924	0.989882874982144	0.988841085072133	0.989152502823337	0.988983513992776	0.98867759610994	0.988246137172297	0.988090862272798	0.988166731537047	0.987106818616128	0.986590786351028	0.986981745936262	0.986795945590536	0.987361917503144
50	gsp001	0.989509736159358	0.992428434243444	0.99000333701143	0.988876919183733	0.989143722530884	0.98895757008651	0.988656096397655	0.9881645612166	0.988065674715126	0.988197740755	0.987049716893268	0.986580551575482	0.986912020964426	0.98690438505402	0.987365689329043
60	gsp001	0.989556927630066	0.992416654387771	0.989915057665402	0.988776873111367	0.989147079240088	0.988977298052826	0.98866634925934	0.98818857171754	0.98803564566137	0.988228094039864	0.987030600176318	0.986580392203214	0.98698453127114	0.986917019296463	0.987353886532783
70	gsp001	0.989578748131808	0.992494345979693	0.989951783502734	0.988826355048006	0.98916677183129	0.989013762577675	0.988608211664988	0.988202627603946	0.988086540293948	0.98821519622953	0.987068533086428	0.986604957383571	0.986932224092763	0.986857672508046	0.98740204778561
80	gsp001	0.989571808465243	0.992456727650894	0.989969155923344	0.988806984537958	0.989161565556709	0.988986648111079	0.988636747766118	0.988183039073262	0.988055478612161	0.988200250461574	0.987082722409088	0.986595105664663	0.986943001083053	0.986854125525919	0.987392207857508
90	gsp001	0.989562288938802	0.992451579963577	0.989960723171024	0.988826575580102	0.989148173026718	0.988988913335142	0.988650504594033	0.988216056799506	0.988066713704321	0.988190644626826	0.987063582269632	0.986608144271322	0.986962700290891	0.986878753332896	0.987392129973459
100	gsp001	0.989570282456713	0.992466377848075	0.989952236974634	0.988812652392151	0.989158060326609	0.988987189210574	0.988643564724686	0.988201985228719	0.988065259427141	0.988192016730562	0.987090258273487	0.986601417769668	0.986942475190881	0.986875439906509	0.987376213839239
1	gsp002	0.991352243274321	0.99116564518708	0.99206204811989	0.989750090829985	0.990222064001133	0.989288689639069	0.987207482630759	0.991217917819444	0.991148545181285	0.991343062454005	0.992101239975198	0.991978082124075	0.99154302063362	0.991758141032688	0.991273501874257
5	gsp002	0.991177457752904	0.991562584023105	0.99245822217046	0.990322729827566	0.989704294478351	0.989247537050749	0.986433491904826	0.990826865359888	0.991013042499887	0.990991282887509	0.992147002095807	0.992028432753568	0.991740786562567	0.991615811300985	0.991087257286337
10	gsp002	0.991286242428571	0.991428358087487	0.992572527218809	0.990470216617062	0.989916055027571	0.989307254838907	0.986547082306947	0.990904253099148	0.991030990759329	0.991118706449567	0.99194473902189	0.992063920524648	0.991567416315291	0.991829451377111	0.991157020241544
20	gsp002	0.991131068628118	0.99139442595705	0.992524232243968	0.990289367376735	0.98994254238338	0.989287996982018	0.986414907730852	0.991034172308882	0.990948624179776	0.991141610390592	0.992057454535448	0.992025087359145	0.991745987961451	0.991756405565548	0.99104237360163
30	gsp002	0.991044579128151	0.991317179009378	0.992440301647645	0.989746658408062	0.989757462571411	0.989491615954843	0.98675698036696	0.991051644194735	0.990967560406943	0.99124212371375	0.991952503465359	0.992082120420959	0.991685619662332	0.99179445127219	0.991049604420327
40	gsp002	0.991223748041596	0.991259608242164	0.992432921610163	0.990103385310343	0.989715526966277	0.989310116422108	0.986503707245072	0.991007752416467	0.990971104632364	0.991173004075834	0.991924403099214	0.992057031736614	0.991752126979557	0.99173830559807	0.991036055331294
50	gsp002	0.991121833414636	0.991319798947963	0.992456725932564	0.990340794070322	0.98975455343969	0.989418051768523	0.986604475846601	0.991041399913427	0.990954692434453	0.99117750766461	0.991988198680844	0.992032398319679	0.991700767046494	0.991741224231644	0.991083750671391
60	gsp002	0.991079883139843	0.991376111860446	0.992531512734032	0.990139991330058	0.98968789553818	0.98929865480584	0.986532466259326	0.991049533836807	0.990926760502874	0.991147258940743	0.991943566857929	0.99213353834388	0.991724129791817	0.991727064527902	0.991052733302529
70	gsp002	0.99110814776009	0.991288683340214	0.992450684429246	0.990161800623095	0.989748337182921	0.98933985136723	0.986625945891096	0.991055772507985	0.991007257061399	0.991172044143596	0.991984566145275	0.992066360320221	0.991694997519663	0.991717188371498	0.991067853645505
80	gsp002	0.991132424073395	0.991336890242208	0.992460464841436	0.990140597648413	0.989743623121014	0.989352587418324	0.986672645158827	0.99106393343832	0.990963842194629	0.991169987550901	0.992036259819038	0.992105299041194	0.991736163019618	0.991686826289437	0.991029282431442
